CORSE MATIN,Facebook,Instagram,Linked In,Tiktok ,X,Youtube
janv.-25, 251 886 , 86 700 , 5 439 , 15 000 , 100 723 ,
févr.-25, 253 414 , 89 100 , 5 670 , 16 200 , 101 001 ,
mars-25, 254 824 , 91 100 , 5 799 , 17 400 , 101 211 , 10 900 
avr.-25, 257 828 , 93 800 , 5 920 , 18 900 , 101 249 , 11 600 
mai-25, 261 249 , 104 000 , 6 101 , 23 100 , 101 104 , 12 200 
juin-25, 263 718 , 106 000 , 6 368 , 23 400 , 101 222 , 12 300 
juil.-25, 267 374 , 113 000 , 6 545 , 25 300 , 101 500 , 12 600 
août-25, 270 048 , 116 000 , 6 779 , 26 400 , 101 600 , 13 000 
sept.-25, 273 477 , 119 000 , 6 967 , 27 000 , 100 500 , 13 500 
oct.-25, 276 574 , 122 000 , 7 134 , 28 000 , 100 000 , 14 000 
nov.-25, 277 985 , 123 000 , 7 318 , 28 600 , 100 000 , 14 800 
déc.-25, 278 238 , 123 000 , 7 356 ,,,
 MOYENNE , 265 551 , 107 225 , 6 450 , 22 664 , 100 919 , 12 767 
