,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GAMME PROXI METIERS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,LES PROXI PACKS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Pages Locales sans Emplacement de Rigueur - Tarif Par Edition,,,,,,,,,,,,,,,,,,,,
,Parutions sur un délai de 15 Jours Maximum,,,,,,,,,,,,,,,,,,,,
,,Attention typologie de clients éligibles à ces tarifs à respecter (Voir polCo),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,AJACCIO,,AUTRES LOCALITES,,,,,,,,,,,,,,,
,,,,3 parutions en 15 jours max,,,,,,Quadri : + 25 %,,,,,,,,,,,
,,Nbre Bases,,Quadri,,Quadri,,,,,,,,,,,,,,,
1,46 h x 90 l,4,,400,,350,,,,"301,79","377,2375","263,68","329,6","311,06","388,31","271,92","339,9","320,33","399,64","280,16","350,2"
"1,5",74 h x 90 l,6,,600,,525,,,,"452,685","565,85625","395,52","494,4",,,,,,,,
2,102 h x 90 l,8,,800,,700,,,,"603,58","754,475","527,36","659,2",,,,,,,,
3,159 h x 90 l,12,,1 200,,1 050,,,,"905,37","1131,7125","791,04","988,8",,,,,,,,
,,,,"1,14285714285714",0,"1,14754098360656",,,,,,"1,08065573770492",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,5 parutions en 15 jours max,,,,,,,,,,,,,,,,,
,,Nbre Bases,,Quadri,,Quadri,,,,,,,,,,,,,,,
1,46 h x 90 l,4,,600,,530,,,,"454,23","567,7875","395,52","494,4","467,62","585,04","407,88","508,82","482,04","602,55","428,4","534,45"
"1,5",74 h x 90 l,6,,900,,800,,,,"681,345","851,68125","593,28","741,6",,,,,,,,
2,102 h x 90 l,8,,1 200,,1 100,,,,"908,46","1135,575","791,04","988,8",,,,,,,,
3,159 h x 90 l,12,,1 800,,1 600,,,,"1362,69","1703,3625","1186,56","1483,2",,,,,,,,
,,,,"1,14285714285714",0,"1,16703136396791",,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,7 parutions en 15 jours max,,,,,,,,,,,,,,,,,
,,Nbre Bases,,Quadri,,Quadri,,,,,,,,,,,,,,,
1,46 h x 90 l,4,,800,,700,,,,"605,64","757,05","527,36","659,2","624,18","779,71","542,81","678,77","642,72","803,4","559,29","699,37"
"1,5",74 h x 90 l,6,,1 200,,1 050,,,,"908,46","1135,575","791,04","988,8",,,,,,,,
2,102 h x 90 l,8,,1 600,,1 400,,,,"1211,28","1514,1","1054,72","1318,4",,,,,,,,
3,159 h x 90 l,12,,2 400,,2 100,,,,"1816,92","2271,15","1582,08","1977,6",,,,,,,,
,TARIFS  2019 / 2020,,,"1,14285714285714",0,"1,14754098360656",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REMISE APPLICABLE,,,,,,,,,,,,,,,,,,,,,
,AUCUNE REMISE APPLICABLE,,,,,,,,,,,,,,,,,,,,
